,title,id,arxiv_url,published
0,High-efficiency Weak-trace-free Counterfactual Communication via Quantum Zeno Effect,2509.01074,http://arxiv.org/abs/2509.01074v1,2025-09-01 02:31:22+00:00
1,Cutting stabiliser decompositions of magic state cultivation with ZX-calculus,2509.01224,http://arxiv.org/abs/2509.01224v1,2025-09-01 08:11:42+00:00
2,Efficient Maximum Clique Detection via Grover's Algorithm with Real-time Global Size Tracking,2509.01261,http://arxiv.org/abs/2509.01261v1,2025-09-01 08:50:54+00:00
3,Counterfactual Local Friendliness: An epsilon-Bounded Interaction-Free Paradox and a Disturbance-Robust Three-Box Inequality,2509.01290,http://arxiv.org/abs/2509.01290v1,2025-09-01 09:19:34+00:00
4,Heisenberg limited quantum algorithm for estimating the fidelity susceptibility,2509.01359,http://arxiv.org/abs/2509.01359v1,2025-09-01 10:56:50+00:00
5,Effect of Single-Ion Anisotropy on Stability of Quantum and Thermal Entanglement in a Mixed-Spin Heisenberg Trimer,2509.01451,http://arxiv.org/abs/2509.01451v1,2025-09-01 13:09:58+00:00
6,Extending the dynamic range in quantum frequency estimation with sequential weak measurements,2509.01474,http://arxiv.org/abs/2509.01474v1,2025-09-01 13:42:17+00:00
7,Enhanced measurements on quantum computers via the simultaneous probing of non-commuting Pauli operators,2509.01482,http://arxiv.org/abs/2509.01482v1,2025-09-01 13:56:06+00:00
8,Higher-Order Portfolio Optimization with Quantum Approximate Optimization Algorithm,2509.01496,http://arxiv.org/abs/2509.01496v1,2025-09-01 14:14:56+00:00
9,The entropic coherence is a necessary resource for non-energy preserving gates,2509.01515,http://arxiv.org/abs/2509.01515v1,2025-09-01 14:35:15+00:00
10,Measuring Less to Learn More: Quadratic Speedup in learning Nonlinear Properties of Quantum Density Matrices,2509.01571,http://arxiv.org/abs/2509.01571v1,2025-09-01 15:56:49+00:00
11,Sampling Continuous Quantum Dynamics from a Single Static State,2509.01633,http://arxiv.org/abs/2509.01633v1,2025-09-01 17:22:20+00:00
12,Quantum Frequency Conversion of Single Photons from a Tin-Vacancy Center in Diamond,2509.01661,http://arxiv.org/abs/2509.01661v1,2025-09-01 18:00:00+00:00
13,Superradiant Syntheses via the V-type Three-Level Atoms,2509.01700,http://arxiv.org/abs/2509.01700v1,2025-09-01 18:19:49+00:00
14,Photon emission without quantum jumps,2509.01702,http://arxiv.org/abs/2509.01702v1,2025-09-01 18:23:16+00:00
15,"The curious case of ""XOR repetition"" of monogamy-of-entanglement games",2509.01831,http://arxiv.org/abs/2509.01831v1,2025-09-01 23:20:35+00:00
16,Neural Network Solution of Non-Markovian Quantum State Diffusion and Operator Construction of Quantum Stochastic Process,2509.01049,http://arxiv.org/abs/2509.01049v1,2025-09-01 01:14:57+00:00
17,Quantum Seniority-based Subspace Expansion: Linear Combinations of Short-Circuit Unitary Transformations for Efficient Quantum Measurements,2509.01061,http://arxiv.org/abs/2509.01061v1,2025-09-01 02:06:35+00:00
18,Topological characterization of phase transitions and critical edge states in one-dimensional non-Hermitian systems with sublattice symmetry,2509.01174,http://arxiv.org/abs/2509.01174v1,2025-09-01 06:48:47+00:00
19,Exploring Quantum Machine Learning for Weather Forecasting,2509.01422,http://arxiv.org/abs/2509.01422v1,2025-09-01 12:28:14+00:00
20,Quantum Petri Nets with Event Structure semantics,2509.01423,http://arxiv.org/abs/2509.01423v1,2025-09-01 12:30:19+00:00
21,Perturbatively corrected ring-polymer instanton rate theory rigorously captures anharmonicity and deep tunneling,2509.01454,http://arxiv.org/abs/2509.01454v1,2025-09-01 13:13:07+00:00
22,Optically detected nuclear magnetic resonance of coherent spins in a molecular complex,2509.01467,http://arxiv.org/abs/2509.01467v1,2025-09-01 13:36:46+00:00
23,Superstrong Dynamics and Chiral Emission of a Giant Atom in a Structured Bath,2509.01579,http://arxiv.org/abs/2509.01579v1,2025-09-01 16:06:30+00:00
24,The Zeno-like effect in a spin-chain quantum battery,2509.01603,http://arxiv.org/abs/2509.01603v1,2025-09-01 16:34:39+00:00
25,Sensing electric fields through Rydberg atom networks,2509.01665,http://arxiv.org/abs/2509.01665v1,2025-09-01 18:00:01+00:00
26,Can We Conjugate the Orbital Angular Momentum of a Single Photon with Nonlinear Optics? A Theoretical Analysis,2509.01792,http://arxiv.org/abs/2509.01792v1,2025-09-01 21:43:07+00:00
27,QUBO-based training for VQAs on Quantum Annealers,2509.01821,http://arxiv.org/abs/2509.01821v1,2025-09-01 22:57:49+00:00
28,Quantum aspects of the classical Maxwell's equations in free space from the perspective of the correspondence principle,2509.02620,http://arxiv.org/abs/2509.02620v1,2025-09-01 06:40:54+00:00
29,The Chaotic Art: Quantum Representation and Manipulation of Color,2509.03542,http://arxiv.org/abs/2509.03542v1,2025-09-01 03:50:10+00:00
30,Duality of extremal quantum states in verification and data hiding,2509.01281,http://arxiv.org/abs/2509.01281v1,2025-09-01 09:10:38+00:00
31,Hadronic vacuum polarization effect in muonic atoms,2509.01311,http://arxiv.org/abs/2509.01311v1,2025-09-01 09:50:42+00:00
32,Traq: Estimating the Quantum Cost of Classical Programs,2509.01508,http://arxiv.org/abs/2509.01508v1,2025-09-01 14:28:49+00:00
33,Dynamics of Loschmidt echoes from operator growth in noisy quantum many-body systems,2509.01585,http://arxiv.org/abs/2509.01585v1,2025-09-01 16:15:01+00:00
34,A Spin-Based Pathway to Testing the Quantum Nature of Gravity,2509.01586,http://arxiv.org/abs/2509.01586v1,2025-09-01 16:18:46+00:00
35,Phase-Sensitive Measurements on a Fermi-Hubbard Quantum Processor,2509.01637,http://arxiv.org/abs/2509.01637v1,2025-09-01 17:30:41+00:00
36,Reflection positivity and a refined index for 2d invertible phases,2509.01711,http://arxiv.org/abs/2509.01711v1,2025-09-01 18:46:41+00:00
37,Landscape of scattering universality with general dispersion relations,2509.01782,http://arxiv.org/abs/2509.01782v1,2025-09-01 21:27:09+00:00
38,Quantum Machine Learning for UAV Swarm Intrusion Detection,2509.01812,http://arxiv.org/abs/2509.01812v1,2025-09-01 22:36:30+00:00
39,\textit{In Silico} Benchmarking of Detectable Byzantine Agreement in Noisy Quantum Networks,2509.02629,http://arxiv.org/abs/2509.02629v1,2025-09-01 17:34:52+00:00
40,Quantum Brush: A quantum computing-based tool for digital painting,2509.01442,http://arxiv.org/abs/2509.01442v1,2025-09-01 12:56:57+00:00
41,Reduced fidelities for free fermions out of equilibrium: From dynamical quantum phase transitions to Mpemba effect,2509.01608,http://arxiv.org/abs/2509.01608v1,2025-09-01 16:38:09+00:00
