,title,id,arxiv_url,published
0,Involving before Evolving: A Vision for Trustworthy Enterprise Digital Twin Engineering,2609.13071,http://arxiv.org/abs/2609.13071v1,2026-09-11 17:06:48+00:00
1,"Comfort by Construction: Adaptive, Comfort-Bounded Action Spaces for Learned Driving Policies",2609.13011,http://arxiv.org/abs/2609.13011v1,2026-09-11 16:08:56+00:00
2,LLM-Enhanced Dual-Branch Learning for Large-Scale Multi-Label Text Classification,2609.12915,http://arxiv.org/abs/2609.12915v1,2026-09-11 14:42:16+00:00
3,MedRoundsQA: A Persona and Difficulty Aware Evaluation for Multi-Turn Medical Consultations,2609.12851,http://arxiv.org/abs/2609.12851v1,2026-09-11 13:41:53+00:00
4,TokenMapper: A Step Toward Interoperable Speech Token Translation,2609.12563,http://arxiv.org/abs/2609.12563v1,2026-09-11 08:04:09+00:00
5,Earth-Agent-Pro: Towards Real-World Full-Chain Earth Observation with Agents,2609.12533,http://arxiv.org/abs/2609.12533v1,2026-09-11 07:41:36+00:00
6,LettuceVisSim: A Simulator That Generates Lettuce Image Time-series for Vision-Based Reinforcement Learning,2609.12505,http://arxiv.org/abs/2609.12505v1,2026-09-11 07:08:59+00:00
7,Bridging Vision Foundation Model Priors with CLIP for Spatial-aware Few-shot Anomaly Detection in Medical Images,2609.12454,http://arxiv.org/abs/2609.12454v1,2026-09-11 05:21:01+00:00
8,Beyond the Query: Do Retrieval Signals Improve Adaptive Multimodal RAG Routing?,2609.12437,http://arxiv.org/abs/2609.12437v1,2026-09-11 04:57:15+00:00
9,LifeFuse-Mem: Lifecycle-Aware State Fusion Against Temporary Overwriting for Long-Term Memory,2609.12436,http://arxiv.org/abs/2609.12436v1,2026-09-11 04:56:48+00:00
10,MInTRL: Off-policy Intervention can boost On-policy RL,2609.12419,http://arxiv.org/abs/2609.12419v1,2026-09-11 04:13:32+00:00
11,OneLA: Scaling Linear-Attention Decoding to Large Beams in Generative Recommendation,2609.12399,http://arxiv.org/abs/2609.12399v1,2026-09-11 03:41:06+00:00
12,LoRA-RC: Reservoir Computing with Low-Rank Adaptation,2609.12327,http://arxiv.org/abs/2609.12327v1,2026-09-11 01:19:48+00:00
13,Affective Agent: On-Device Personalized Intervention Reasoning for Wearable Systems,2609.12322,http://arxiv.org/abs/2609.12322v1,2026-09-11 01:01:44+00:00
14,Assisted Spatial Cognition Through Vision-Language Models,2609.12747,http://arxiv.org/abs/2609.12747v1,2026-09-11 11:58:59+00:00
15,Skill Issue: Lessons from Optimizing Repository SKILLs for Coding Agents,2609.12742,http://arxiv.org/abs/2609.12742v1,2026-09-11 11:41:29+00:00
16,What is the Difference Between Me and You? Benchmarking the Quality Gap Between Human-Written and AI-Generated Code,2609.12708,http://arxiv.org/abs/2609.12708v1,2026-09-11 11:02:42+00:00
17,Enabling and Understanding Personalization in AI-Generated Advertising Imagery,2609.12697,http://arxiv.org/abs/2609.12697v1,2026-09-11 10:44:37+00:00
18,I Am AdMan: A Pipeline for Automatic Generation of Personalized Advertising Imagery,2609.12694,http://arxiv.org/abs/2609.12694v1,2026-09-11 10:39:18+00:00
19,How Good Are Frontier Models at Physics? Expert Re-Grading Reveals Broken Evaluations and Near-Saturation of Leading Benchmarks,2609.13009,http://arxiv.org/abs/2609.13009v1,2026-09-11 16:06:50+00:00
20,Clustering-Based Balanced Sampling and Allocation with Data Parallelism for High-Performance Fine-Tuning,2609.12584,http://arxiv.org/abs/2609.12584v1,2026-09-11 08:36:57+00:00
