,title,id,arxiv_url,published
0,Robust self-testing with CHSH mod 3,2604.03700,http://arxiv.org/abs/2604.03700v1,2026-04-04 12:09:24+00:00
1,Nonlocal advantage of quantum imaginarity in Schwarzchild spacetime,2604.03633,http://arxiv.org/abs/2604.03633v2,2026-04-04 08:07:25+00:00
2,Quantum effects in plasmas,2604.03757,http://arxiv.org/abs/2604.03757v1,2026-04-04 15:08:13+00:00
3,Moving Detector Quantum Walk with Random Relocation,2604.03593,http://arxiv.org/abs/2604.03593v1,2026-04-04 05:12:34+00:00
4,Post-Selection-Free Decoding of Measurement-Induced Area-Law Phases via Neural Networks,2604.03550,http://arxiv.org/abs/2604.03550v1,2026-04-04 02:34:58+00:00
5,Impure codes exceeding the pure bounds for quantum local recovery,2604.03569,http://arxiv.org/abs/2604.03569v1,2026-04-04 03:35:35+00:00
6,Superradiant phase transition in cavity magnonics via Floquet engineering,2604.03646,http://arxiv.org/abs/2604.03646v1,2026-04-04 08:51:44+00:00
7,Disorder-Induced Exponential Scaling of Subradiant Decay Rates,2604.03576,http://arxiv.org/abs/2604.03576v1,2026-04-04 04:01:28+00:00
8,Interaction with the Environment via Random Matrices and the Emergence of Classical Field Theory,2604.03778,http://arxiv.org/abs/2604.03778v1,2026-04-04 16:02:49+00:00
9,Leakage Suppression in Quantum Control via Static Parameter Offsets,2604.03726,http://arxiv.org/abs/2604.03726v1,2026-04-04 13:13:45+00:00
10,Formalizing CHSH Rigidity in Lean 4,2604.03884,http://arxiv.org/abs/2604.03884v1,2026-04-04 22:31:36+00:00
11,Robust Universal Photon Blockade in a Bimodal Jaynes-Cummings Model via Kerr Nonlinearity,2604.03838,http://arxiv.org/abs/2604.03838v1,2026-04-04 19:33:47+00:00
12,Entanglement generation from gravitationally produced massless vector particles during inflation,2604.03822,http://arxiv.org/abs/2604.03822v1,2026-04-04 18:19:41+00:00
13,"GPU-Accelerated Quantum Simulation: Empirical Backend Selection, Gate Fusion, and Adaptive Precision",2604.03816,http://arxiv.org/abs/2604.03816v1,2026-04-04 17:46:37+00:00
14,How Events Separated by a Timelike Interval Can Help Us Understand Quantum Nonlocality,2604.03744,http://arxiv.org/abs/2604.03744v1,2026-04-04 14:14:43+00:00
15,Interaction of twisted light with free twisted atoms,2604.03607,http://arxiv.org/abs/2604.03607v1,2026-04-04 06:42:22+00:00
16,Unambiguous arbitrary high-dimensional Bell states analyzer via indefinite causal order,2604.03577,http://arxiv.org/abs/2604.03577v1,2026-04-04 04:02:53+00:00
17,Ground-state selection via nonlinear quantum dissipation,2604.03731,http://arxiv.org/abs/2604.03731v1,2026-04-04 13:22:46+00:00
18,Quantum Algebraic Diversity: Single-Copy Density Matrix Estimation via Group-Structured Measurements,2604.03725,http://arxiv.org/abs/2604.03725v1,2026-04-04 13:11:14+00:00
19,Spatial Localization of Relativistic Quantum Systems: The Commutativity Requirement and the Locality Principle. Part I: A General Analysis,2604.03729,http://arxiv.org/abs/2604.03729v2,2026-04-04 13:16:00+00:00
20,Random matrix theory of integrability-to-chaos transition,2604.03669,http://arxiv.org/abs/2604.03669v1,2026-04-04 09:47:04+00:00
21,Quantum Realization of the Wallis Formula,2604.03662,http://arxiv.org/abs/2604.03662v1,2026-04-04 09:29:20+00:00
22,Mitigating Precision Errors in Quantum Annealing via Coefficient Reduction of Embedded Hamiltonians,2604.03546,http://arxiv.org/abs/2604.03546v1,2026-04-04 02:13:50+00:00
