,title,id,arxiv_url,published
0,Foundation Molecular Grammar: Multi-Modal Foundation Models Induce Interpretable Molecular Graph Languages,2505.22948,http://arxiv.org/abs/2505.22948v1,2025-05-29 00:03:09+00:00
1,Darwin Godel Machine: Open-Ended Evolution of Self-Improving Agents,2505.22954,http://arxiv.org/abs/2505.22954v1,2025-05-29 00:26:15+00:00
2,Conceptual Framework Toward Embodied Collective Adaptive Intelligence,2505.23153,http://arxiv.org/abs/2505.23153v1,2025-05-29 06:43:14+00:00
3,AutoGPS: Automated Geometry Problem Solving via Multimodal Formalization and Deductive Reasoning,2505.23381,http://arxiv.org/abs/2505.23381v1,2025-05-29 12:01:20+00:00
4,GAM-Agent: Game-Theoretic and Uncertainty-Aware Collaboration for Complex Visual Reasoning,2505.23399,http://arxiv.org/abs/2505.23399v1,2025-05-29 12:37:34+00:00
5,EVOREFUSE: Evolutionary Prompt Optimization for Evaluation and Mitigation of LLM Over-Refusal to Pseudo-Malicious Instructions,2505.23473,http://arxiv.org/abs/2505.23473v2,2025-05-29 14:26:46+00:00
6,Autoformalization in the Era of Large Language Models: A Survey,2505.23486,http://arxiv.org/abs/2505.23486v1,2025-05-29 14:34:54+00:00
7,TRAP: Targeted Redirecting of Agentic Preferences,2505.23518,http://arxiv.org/abs/2505.23518v1,2025-05-29 14:57:16+00:00
8,Individual differences in the cognitive mechanisms of planning strategy discovery,2505.23519,http://arxiv.org/abs/2505.23519v1,2025-05-29 14:57:34+00:00
9,Synchronizing Process Model and Event Abstraction for Grounded Process Intelligence (Extended Version),2505.23536,http://arxiv.org/abs/2505.23536v1,2025-05-29 15:15:23+00:00
10,SafeScientist: Toward Risk-Aware Scientific Discoveries by LLM Agents,2505.23559,http://arxiv.org/abs/2505.23559v1,2025-05-29 15:35:58+00:00
11,MAPLE: A Mobile Agent with Persistent Finite State Machines for Structured Task Reasoning,2505.23596,http://arxiv.org/abs/2505.23596v2,2025-05-29 16:08:51+00:00
12,Fortune: Formula-Driven Reinforcement Learning for Symbolic Table Reasoning in Language Models,2505.23667,http://arxiv.org/abs/2505.23667v2,2025-05-29 17:13:40+00:00
13,Data-to-Dashboard: Multi-Agent LLM Framework for Insightful Visualization in Enterprise Analytics,2505.23695,http://arxiv.org/abs/2505.23695v1,2025-05-29 17:32:15+00:00
14,InterMT: Multi-Turn Interleaved Preference Alignment with Human Feedback,2505.23950,http://arxiv.org/abs/2505.23950v1,2025-05-29 19:00:42+00:00
15,MSQA: Benchmarking LLMs on Graduate-Level Materials Science Reasoning and Knowledge,2505.23982,http://arxiv.org/abs/2505.23982v1,2025-05-29 20:22:57+00:00
16,Multi-RAG: A Multimodal Retrieval-Augmented Generation System for Adaptive Video Understanding,2505.23990,http://arxiv.org/abs/2505.23990v1,2025-05-29 20:31:29+00:00
17,Leave it to the Specialist: Repair Sparse LLMs with Sparse Fine-Tuning via Sparsity Evolution,2505.24037,http://arxiv.org/abs/2505.24037v1,2025-05-29 22:17:43+00:00
18,mRAG: Elucidating the Design Space of Multi-modal Retrieval-Augmented Generation,2505.24073,http://arxiv.org/abs/2505.24073v1,2025-05-29 23:32:03+00:00
19,Revisiting Multi-Agent Debate as Test-Time Scaling: A Systematic Study of Conditional Effectiveness,2505.22960,http://arxiv.org/abs/2505.22960v1,2025-05-29 01:02:55+00:00
20,EquiReg: Equivariance Regularized Diffusion for Inverse Problems,2505.22973,http://arxiv.org/abs/2505.22973v1,2025-05-29 01:25:43+00:00
21,Toward Memory-Aided World Models: Benchmarking via Spatial Consistency,2505.22976,http://arxiv.org/abs/2505.22976v1,2025-05-29 01:28:57+00:00
22,Model-Preserving Adaptive Rounding,2505.22988,http://arxiv.org/abs/2505.22988v1,2025-05-29 01:53:00+00:00
23,Hybrid Cross-domain Robust Reinforcement Learning,2505.23003,http://arxiv.org/abs/2505.23003v1,2025-05-29 02:25:13+00:00
24,A Practical Approach for Building Production-Grade Conversational Agents with Workflow Graphs,2505.23006,http://arxiv.org/abs/2505.23006v1,2025-05-29 02:30:27+00:00
25,$K^2$VAE: A Koopman-Kalman Enhanced Variational AutoEncoder for Probabilistic Time Series Forecasting,2505.23017,http://arxiv.org/abs/2505.23017v2,2025-05-29 02:52:59+00:00
26,Context-Robust Knowledge Editing for Language Models,2505.23026,http://arxiv.org/abs/2505.23026v2,2025-05-29 03:11:53+00:00
27,Bayesian Neural Scaling Laws Extrapolation with Prior-Fitted Networks,2505.23032,http://arxiv.org/abs/2505.23032v1,2025-05-29 03:19:17+00:00
28,Case-Based Reasoning Enhances the Predictive Power of LLMs in Drug-Drug Interaction,2505.23034,http://arxiv.org/abs/2505.23034v1,2025-05-29 03:20:53+00:00
29,From Theory to Application: Fine-Tuning Large EEG Model with Real-World Stress Data,2505.23042,http://arxiv.org/abs/2505.23042v1,2025-05-29 03:40:20+00:00
30,Are Unified Vision-Language Models Necessary: Generalization Across Understanding and Generation,2505.23043,http://arxiv.org/abs/2505.23043v1,2025-05-29 03:40:21+00:00
31,Multi-Sourced Compositional Generalization in Visual Question Answering,2505.23045,http://arxiv.org/abs/2505.23045v1,2025-05-29 03:41:36+00:00
32,Augment or Not? A Comparative Study of Pure and Augmented Large Language Model Recommenders,2505.23053,http://arxiv.org/abs/2505.23053v1,2025-05-29 03:50:24+00:00
33,From Token to Action: State Machine Reasoning to Mitigate Overthinking in Information Retrieval,2505.23059,http://arxiv.org/abs/2505.23059v1,2025-05-29 04:04:25+00:00
34,Composite Flow Matching for Reinforcement Learning with Shifted-Dynamics Data,2505.23062,http://arxiv.org/abs/2505.23062v1,2025-05-29 04:09:19+00:00
35,Second Opinion Matters: Towards Adaptive Clinical AI via the Consensus of Expert Model Ensemble,2505.23075,http://arxiv.org/abs/2505.23075v1,2025-05-29 04:29:22+00:00
36,Document-Level Text Generation with Minimum Bayes Risk Decoding using Optimal Transport,2505.23078,http://arxiv.org/abs/2505.23078v1,2025-05-29 04:34:04+00:00
37,Equivariant Spherical Transformer for Efficient Molecular Modeling,2505.23086,http://arxiv.org/abs/2505.23086v1,2025-05-29 04:43:07+00:00
38,Infi-MMR: Curriculum-based Unlocking Multimodal Reasoning via Phased Reinforcement Learning in Multimodal Small Language Models,2505.23091,http://arxiv.org/abs/2505.23091v1,2025-05-29 04:51:56+00:00
39,EAD: An EEG Adapter for Automated Classification,2505.23107,http://arxiv.org/abs/2505.23107v1,2025-05-29 05:21:06+00:00
40,CrossLinear: Plug-and-Play Cross-Correlation Embedding for Time Series Forecasting with Exogenous Variables,2505.23116,http://arxiv.org/abs/2505.23116v1,2025-05-29 05:34:40+00:00
41,Decom-Renorm-Merge: Model Merging on the Right Space Improves Multitasking,2505.23117,http://arxiv.org/abs/2505.23117v1,2025-05-29 05:37:53+00:00
42,Elicit and Enhance: Advancing Multimodal Reasoning in Medical Scenarios,2505.23118,http://arxiv.org/abs/2505.23118v1,2025-05-29 05:39:23+00:00
43,ContextQFormer: A New Context Modeling Method for Multi-Turn Multi-Modal Conversations,2505.23121,http://arxiv.org/abs/2505.23121v1,2025-05-29 05:41:26+00:00
44,Zero-to-Hero: Zero-Shot Initialization Empowering Reference-Based Video Appearance Editing,2505.23134,http://arxiv.org/abs/2505.23134v1,2025-05-29 06:10:16+00:00
45,FreRA: A Frequency-Refined Augmentation for Contrastive Learning on Time Series Classification,2505.23181,http://arxiv.org/abs/2505.23181v1,2025-05-29 07:18:28+00:00
46,ExpeTrans: LLMs Are Experiential Transfer Learners,2505.23191,http://arxiv.org/abs/2505.23191v1,2025-05-29 07:30:58+00:00
47,Less is More: Unlocking Specialization of Time Series Foundation Models via Structured Pruning,2505.23195,http://arxiv.org/abs/2505.23195v1,2025-05-29 07:33:49+00:00
48,SAMamba: Adaptive State Space Modeling with Hierarchical Vision for Infrared Small Target Detection,2505.23214,http://arxiv.org/abs/2505.23214v1,2025-05-29 07:55:23+00:00
49,OSS-UAgent: An Agent-based Usability Evaluation Framework for Open Source Software,2505.23239,http://arxiv.org/abs/2505.23239v1,2025-05-29 08:40:10+00:00
50,Deep Retrieval at CheckThat! 2025: Identifying Scientific Papers from Implicit Social Media Mentions via Hybrid Retrieval and Re-Ranking,2505.23250,http://arxiv.org/abs/2505.23250v1,2025-05-29 08:55:39+00:00
51,VLM-RRT: Vision Language Model Guided RRT Search for Autonomous UAV Navigation,2505.23267,http://arxiv.org/abs/2505.23267v1,2025-05-29 09:15:44+00:00
52,The Arabic AI Fingerprint: Stylometric Analysis and Detection of Large Language Models Text,2505.23276,http://arxiv.org/abs/2505.23276v2,2025-05-29 09:24:00+00:00
53,Sentinel: Attention Probing of Proxy Models for LLM Context Compression with an Understanding Perspective,2505.23277,http://arxiv.org/abs/2505.23277v1,2025-05-29 09:24:12+00:00
54,MathArena: Evaluating LLMs on Uncontaminated Math Competitions,2505.23281,http://arxiv.org/abs/2505.23281v1,2025-05-29 09:28:06+00:00
