,title,id,arxiv_url,published
0,Collaborative LLM Numerical Reasoning with Local Data Protection,2504.00299,http://arxiv.org/abs/2504.00299v1,2025-04-01 00:02:25+00:00
1,CyberBOT: Towards Reliable Cybersecurity Education via Ontology-Grounded Retrieval Augmented Generation,2504.00389,http://arxiv.org/abs/2504.00389v1,2025-04-01 03:19:22+00:00
2,Hawkeye:Efficient Reasoning with Model Collaboration,2504.00424,http://arxiv.org/abs/2504.00424v1,2025-04-01 05:09:04+00:00
3,"Towards Responsible and Trustworthy Educational Data Mining: Comparing Symbolic, Sub-Symbolic, and Neural-Symbolic AI Methods",2504.00615,http://arxiv.org/abs/2504.00615v1,2025-04-01 10:14:11+00:00
4,Do We Truly Need So Many Samples? Multi-LLM Repeated Sampling Efficiently Scales Test-Time Compute,2504.00762,http://arxiv.org/abs/2504.00762v2,2025-04-01 13:13:43+00:00
5,Grounding Multimodal LLMs to Embodied Agents that Ask for Help with Reinforcement Learning,2504.00907,http://arxiv.org/abs/2504.00907v2,2025-04-01 15:41:50+00:00
6,FedPaI: Achieving Extreme Sparsity in Federated Learning via Pruning at Initialization,2504.00308,http://arxiv.org/abs/2504.00308v1,2025-04-01 00:24:34+00:00
7,Detecting and Mitigating Bias in LLMs through Knowledge Graph-Augmented Training,2504.00310,http://arxiv.org/abs/2504.00310v1,2025-04-01 00:27:50+00:00
8,SeizureTransformer: Scaling U-Net with Transformer for Simultaneous Time-Step Level Seizure Detection from Long EEG Recordings,2504.00336,http://arxiv.org/abs/2504.00336v2,2025-04-01 01:33:42+00:00
9,VNJPTranslate: A comprehensive pipeline for Vietnamese-Japanese translation,2504.00339,http://arxiv.org/abs/2504.00339v1,2025-04-01 01:38:25+00:00
10,Hybrid Global-Local Representation with Augmented Spatial Guidance for Zero-Shot Referring Image Segmentation,2504.00356,http://arxiv.org/abs/2504.00356v1,2025-04-01 02:13:39+00:00
11,When Persuasion Overrides Truth in Multi-Agent LLM Debates: Introducing a Confidence-Weighted Persuasion Override Rate (CW-POR),2504.00374,http://arxiv.org/abs/2504.00374v1,2025-04-01 02:45:02+00:00
12,Beyond Wide-Angle Images: Unsupervised Video Portrait Correction via Spatiotemporal Diffusion Adaptation,2504.00401,http://arxiv.org/abs/2504.00401v1,2025-04-01 03:49:59+00:00
13,VerifiAgent: a Unified Verification Agent in Language Model Reasoning,2504.00406,http://arxiv.org/abs/2504.00406v1,2025-04-01 04:05:03+00:00
14,Semantic Mastery: Enhancing LLMs with Advanced Natural Language Understanding,2504.00409,http://arxiv.org/abs/2504.00409v1,2025-04-01 04:12:04+00:00
15,LLM-Assisted Proactive Threat Intelligence for Automated Reasoning,2504.00428,http://arxiv.org/abs/2504.00428v1,2025-04-01 05:19:33+00:00
16,Suite-IN++: A FlexiWear BodyNet Integrating Global and Local Motion Features from Apple Suite for Robust Inertial Navigation,2504.00438,http://arxiv.org/abs/2504.00438v1,2025-04-01 05:40:52+00:00
17,No Free Lunch with Guardrails,2504.00441,http://arxiv.org/abs/2504.00441v2,2025-04-01 05:46:54+00:00
18,Distilling Multi-view Diffusion Models into 3D Generators,2504.00457,http://arxiv.org/abs/2504.00457v3,2025-04-01 06:32:48+00:00
19,MetaLoRA: Tensor-Enhanced Adaptive Low-Rank Fine-tuning,2504.00460,http://arxiv.org/abs/2504.00460v1,2025-04-01 06:34:26+00:00
