,title,id,arxiv_url,published
0,Optimal schedule of multi-channel quantum Zeno dragging with application to solving the k-SAT problem,2507.16128,http://arxiv.org/abs/2507.16128v1,2025-07-22 00:46:19+00:00
1,Practical blueprint for low-depth photonic quantum computing with quantum dots,2507.16152,http://arxiv.org/abs/2507.16152v1,2025-07-22 01:59:25+00:00
2,Statistical Assertions for Debugging Quantum Circuits and States in CUDA-Q,2507.16255,http://arxiv.org/abs/2507.16255v1,2025-07-22 06:09:56+00:00
3,High temperature superradiant phase transition in novel quantum structures with complex network interface,2507.16316,http://arxiv.org/abs/2507.16316v1,2025-07-22 07:56:45+00:00
4,On the Differential Topology of Expressivity of Parameterized Quantum Circuits,2507.16401,http://arxiv.org/abs/2507.16401v1,2025-07-22 09:51:49+00:00
5,A Mixed-Order Phase Transition in Continuous-Variable Quantum Networks,2507.16417,http://arxiv.org/abs/2507.16417v1,2025-07-22 10:09:21+00:00
6,Application-Driven Benchmarking of the Traveling Salesperson Problem: a Quantum Hardware Deep-Dive,2507.16471,http://arxiv.org/abs/2507.16471v1,2025-07-22 11:22:04+00:00
7,Efficient quantum state tomography with auxiliary systems,2507.16532,http://arxiv.org/abs/2507.16532v1,2025-07-22 12:40:14+00:00
8,Quantum Dark Magic: Efficiency of Intermediate Non-Stabiliserness,2507.16543,http://arxiv.org/abs/2507.16543v1,2025-07-22 12:52:11+00:00
9,A photon density wavefunction,2507.16597,http://arxiv.org/abs/2507.16597v1,2025-07-22 13:55:42+00:00
10,Multi-qubit Rydberg gates between distant atoms,2507.16602,http://arxiv.org/abs/2507.16602v1,2025-07-22 13:58:39+00:00
11,Isocoherent Work Extraction from Quantum Batteries: Basis-Dependent Response,2507.16610,http://arxiv.org/abs/2507.16610v1,2025-07-22 14:07:55+00:00
12,Thermal operations from informational equilibrium,2507.16637,http://arxiv.org/abs/2507.16637v1,2025-07-22 14:35:08+00:00
13,Studies of properties of bipartite graphs with quantum programming,2507.16653,http://arxiv.org/abs/2507.16653v1,2025-07-22 14:49:57+00:00
14,Reconfigurable qubit states and quantum trajectories in a synthetic artificial neuron network with a process to direct information generation from co-integrated burst-mode spiking under non-Markovianity,2507.16669,http://arxiv.org/abs/2507.16669v1,2025-07-22 15:02:06+00:00
15,Parametric Amplification of Spin-Motion Coupling in Three-Dimensional Trapped-Ion Crystals,2507.16741,http://arxiv.org/abs/2507.16741v1,2025-07-22 16:28:01+00:00
16,Multiparameter estimation with position-momentum correlated Gaussian probes,2507.16742,http://arxiv.org/abs/2507.16742v1,2025-07-22 16:33:18+00:00
