,title,id,arxiv_url,published
0,ProRL Agent: Rollout-as-a-Service for RL Training of Multi-Turn LLM Agents,2603.18815,http://arxiv.org/abs/2603.18815v1,2026-03-19 12:08:51+00:00
1,Automatic Configuration of LLM Post-Training Pipelines,2603.18773,http://arxiv.org/abs/2603.18773v1,2026-03-19 11:26:56+00:00
2,Meanings and Measurements: Multi-Agent Probabilistic Grounding for Vision-Language Navigation,2603.19166,http://arxiv.org/abs/2603.19166v1,2026-03-19 17:20:56+00:00
3,Learning to Self-Evolve,2603.18620,http://arxiv.org/abs/2603.18620v1,2026-03-19 08:41:24+00:00
4,SpecForge: A Flexible and Efficient Open-Source Training Framework for Speculative Decoding,2603.18567,http://arxiv.org/abs/2603.18567v1,2026-03-19 07:28:56+00:00
5,When Names Change Verdicts: Intervention Consistency Reveals Systematic Bias in LLM Decision-Making,2603.18530,http://arxiv.org/abs/2603.18530v1,2026-03-19 06:21:08+00:00
6,FILT3R: Latent State Adaptive Kalman Filter for Streaming 3D Reconstruction,2603.18493,http://arxiv.org/abs/2603.18493v1,2026-03-19 04:56:36+00:00
7,AS2 -- Attention-Based Soft Answer Sets: An End-to-End Differentiable Neuro-Soft-Symbolic Reasoning Architecture,2603.18436,http://arxiv.org/abs/2603.18436v1,2026-03-19 02:51:18+00:00
8,R&D: Balancing Reliability and Diversity in Synthetic Data Augmentation for Semantic Segmentation,2603.18427,http://arxiv.org/abs/2603.18427v1,2026-03-19 02:40:26+00:00
9,OS-Themis: A Scalable Critic Framework for Generalist GUI Rewards,2603.19191,http://arxiv.org/abs/2603.19191v1,2026-03-19 17:47:47+00:00
10,How Uncertainty Estimation Scales with Sampling in Reasoning Models,2603.19118,http://arxiv.org/abs/2603.19118v1,2026-03-19 16:42:05+00:00
11,Parallelograms Strike Back: LLMs Generate Better Analogies than People,2603.19066,http://arxiv.org/abs/2603.19066v1,2026-03-19 15:56:24+00:00
12,Behavioral Fingerprints for LLM Endpoint Stability and Identity,2603.19022,http://arxiv.org/abs/2603.19022v1,2026-03-19 15:23:23+00:00
13,Regret Bounds for Competitive Resource Allocation with Endogenous Costs,2603.18999,http://arxiv.org/abs/2603.18999v1,2026-03-19 15:04:50+00:00
14,Proceedings of the 2nd Workshop on Advancing Artificial Intelligence through Theory of Mind,2603.18786,http://arxiv.org/abs/2603.18786v1,2026-03-19 11:35:46+00:00
15,"Security, privacy, and agentic AI in a regulatory view: From definitions and distinctions to provisions and reflections",2603.18914,http://arxiv.org/abs/2603.18914v1,2026-03-19 13:50:52+00:00
16,From Accuracy to Readiness: Metrics and Benchmarks for Human-AI Decision-Making,2603.18895,http://arxiv.org/abs/2603.18895v1,2026-03-19 13:35:29+00:00
17,Gastric-X: A Multimodal Multi-Phase Benchmark Dataset for Advancing Vision-Language Models in Gastric Cancer Analysis,2603.19516,http://arxiv.org/abs/2603.19516v1,2026-03-19 22:47:27+00:00
18,A Framework for Formalizing LLM Agent Security,2603.19469,http://arxiv.org/abs/2603.19469v1,2026-03-19 21:01:49+00:00
19,To See or To Please: Uncovering Visual Sycophancy and Split Beliefs in VLMs,2603.18373,http://arxiv.org/abs/2603.18373v1,2026-03-19 00:15:05+00:00
20,GIP-RAG: An Evidence-Grounded Retrieval-Augmented Framework for Interpretable Gene Interaction and Pathway Impact Analysis,2603.20321,http://arxiv.org/abs/2603.20321v1,2026-03-19 23:36:26+00:00
21,kRAIG: A Natural Language-Driven Agent for Automated DataOps Pipeline Generation,2603.20311,http://arxiv.org/abs/2603.20311v1,2026-03-19 17:53:00+00:00
22,InjectFlow: Weak Guides Strong via Orthogonal Injection for Flow Matching,2603.20303,http://arxiv.org/abs/2603.20303v1,2026-03-19 11:07:14+00:00
23,Collaborative Adaptive Curriculum for Progressive Knowledge Distillation,2603.20296,http://arxiv.org/abs/2603.20296v1,2026-03-19 04:44:39+00:00
24,LLM-Enhanced Energy Contrastive Learning for Out-of-Distribution Detection in Text-Attributed Graphs,2603.20293,http://arxiv.org/abs/2603.20293v1,2026-03-19 02:48:46+00:00
25,Global Convergence of Multiplicative Updates for the Matrix Mechanism: A Collaborative Proof with Gemini 3,2603.19465,http://arxiv.org/abs/2603.19465v2,2026-03-19 20:58:02+00:00
26,Ontology-Guided Diffusion for Zero-Shot Visual Sim2Real Transfer,2603.18719,http://arxiv.org/abs/2603.18719v2,2026-03-19 10:16:15+00:00
27,Act While Thinking: Accelerating LLM Agents via Pattern-Aware Speculative Tool Execution,2603.18897,http://arxiv.org/abs/2603.18897v1,2026-03-19 13:36:50+00:00
28,I Can't Believe It's Corrupt: Evaluating Corruption in Multi-Agent Governance Systems,2603.18894,http://arxiv.org/abs/2603.18894v1,2026-03-19 13:34:54+00:00
29,"F2LLM-v2: Inclusive, Performant, and Efficient Embeddings for a Multilingual World",2603.19223,http://arxiv.org/abs/2603.19223v1,2026-03-19 17:59:21+00:00
30,Implicit Patterns in LLM-Based Binary Analysis,2603.19138,http://arxiv.org/abs/2603.19138v1,2026-03-19 16:56:56+00:00
31,Man and machine: artificial intelligence and judicial decision making,2603.19042,http://arxiv.org/abs/2603.19042v1,2026-03-19 15:38:50+00:00
32,Security awareness in LLM agents: the NDAI zone case,2603.19011,http://arxiv.org/abs/2603.19011v1,2026-03-19 15:18:23+00:00
33,Foundations of Schrödinger Bridges for Generative Modeling,2603.18992,http://arxiv.org/abs/2603.18992v1,2026-03-19 14:59:56+00:00
34,Agentic Flow Steering and Parallel Rollout Search for Spatially Grounded Text-to-Image Generation,2603.18627,http://arxiv.org/abs/2603.18627v1,2026-03-19 08:50:49+00:00
35,REST: Receding Horizon Explorative Steiner Tree for Zero-Shot Object-Goal Navigation,2603.18624,http://arxiv.org/abs/2603.18624v1,2026-03-19 08:43:40+00:00
36,ICE: Intervention-Consistent Explanation Evaluation with Statistical Grounding for LLMs,2603.18579,http://arxiv.org/abs/2603.18579v1,2026-03-19 07:38:46+00:00
37,Transformers Learn Robust In-Context Regression under Distributional Uncertainty,2603.18564,http://arxiv.org/abs/2603.18564v1,2026-03-19 07:24:48+00:00
38,"Reasonably reasoning AI agents can avoid game-theoretic failures in zero-shot, provably",2603.18563,http://arxiv.org/abs/2603.18563v1,2026-03-19 07:24:39+00:00
39,HiMu: Hierarchical Multimodal Frame Selection for Long Video Question Answering,2603.18558,http://arxiv.org/abs/2603.18558v1,2026-03-19 07:11:53+00:00
40,Cross-Domain Demo-to-Code via Neurosymbolic Counterfactual Reasoning,2603.18495,http://arxiv.org/abs/2603.18495v1,2026-03-19 05:04:20+00:00
41,Self-Tuning Sparse Attention: Multi-Fidelity Hyperparameter Optimization for Transformer Acceleration,2603.18417,http://arxiv.org/abs/2603.18417v1,2026-03-19 02:24:38+00:00
42,Through the Looking-Glass: AI-Mediated Video Communication Reduces Interpersonal Trust and Confidence in Judgments,2603.18868,http://arxiv.org/abs/2603.18868v1,2026-03-19 13:13:17+00:00
43,RewardFlow: Topology-Aware Reward Propagation on State Graphs for Agentic RL with Large Language Models,2603.18859,http://arxiv.org/abs/2603.18859v1,2026-03-19 13:07:12+00:00
