,title,id,arxiv_url,published
0,HySafe-AI: Hybrid Safety Architectural Analysis Framework for AI Systems: A Case Study,2507.17118,http://arxiv.org/abs/2507.17118v1,2025-07-23 01:41:51+00:00
1,Improving LLMs' Generalized Reasoning Abilities by Graph Problems,2507.17168,http://arxiv.org/abs/2507.17168v1,2025-07-23 03:19:57+00:00
2,Students' Feedback Requests and Interactions with the SCRIPT Chatbot: Do They Get What They Ask For?,2507.17258,http://arxiv.org/abs/2507.17258v1,2025-07-23 06:56:26+00:00
3,Compliance Brain Assistant: Conversational Agentic AI for Assisting Compliance Tasks in Enterprise Environments,2507.17289,http://arxiv.org/abs/2507.17289v3,2025-07-23 07:51:10+00:00
4,An Uncertainty-Driven Adaptive Self-Alignment Framework for Large Language Models,2507.17477,http://arxiv.org/abs/2507.17477v1,2025-07-23 13:00:00+00:00
5,LTLZinc: a Benchmarking Framework for Continual Learning and Neuro-Symbolic Temporal Reasoning,2507.17482,http://arxiv.org/abs/2507.17482v1,2025-07-23 13:04:13+00:00
6,TAI Scan Tool: A RAG-Based Tool With Minimalistic Input for Trustworthy AI Self-Assessment,2507.17514,http://arxiv.org/abs/2507.17514v1,2025-07-23 13:51:23+00:00
7,Thinking Isn't an Illusion: Overcoming the Limitations of Reasoning Models via Tool Augmentations,2507.17699,http://arxiv.org/abs/2507.17699v1,2025-07-23 17:04:20+00:00
8,Online Submission and Evaluation System Design for Competition Operations,2507.17730,http://arxiv.org/abs/2507.17730v1,2025-07-23 17:44:10+00:00
9,I2I-STRADA -- Information to Insights via Structured Reasoning Agent for Data Analysis,2507.17874,http://arxiv.org/abs/2507.17874v1,2025-07-23 18:58:42+00:00
10,SMARTAPS: Tool-augmented LLMs for Operations Management,2507.17927,http://arxiv.org/abs/2507.17927v1,2025-07-23 20:53:40+00:00
11,Synthesis of timeline-based planning strategies avoiding determinization,2507.17988,http://arxiv.org/abs/2507.17988v1,2025-07-23 23:39:04+00:00
12,Reinforcement Learning Fine-Tunes a Sparse Subnetwork in Large Language Models,2507.17107,http://arxiv.org/abs/2507.17107v2,2025-07-23 01:02:17+00:00
13,BucketServe: Bucket-Based Dynamic Batching for Smart and Efficient LLM Inference Serving,2507.17120,http://arxiv.org/abs/2507.17120v1,2025-07-23 01:51:48+00:00
14,Enabling Self-Improving Agents to Learn at Test Time With Human-In-The-Loop Guidance,2507.17131,http://arxiv.org/abs/2507.17131v1,2025-07-23 02:12:32+00:00
15,Resilient Multi-Agent Negotiation for Medical Supply Chains:Integrating LLMs and Blockchain for Transparent Coordination,2507.17134,http://arxiv.org/abs/2507.17134v1,2025-07-23 02:14:42+00:00
