,title,id,arxiv_url,published
0,Polynomial-Time Relational Probabilistic Inference in Open Universes,2505.04115,http://arxiv.org/abs/2505.04115v1,2025-05-07 04:14:03+00:00
1,Mastering Multi-Drone Volleyball through Hierarchical Co-Self-Play Reinforcement Learning,2505.04317,http://arxiv.org/abs/2505.04317v1,2025-05-07 11:04:36+00:00
2,On some improvements to Unbounded Minimax,2505.04525,http://arxiv.org/abs/2505.04525v1,2025-05-07 15:59:19+00:00
3,Qualitative Analysis of $ω$-Regular Objectives on Robust MDPs,2505.04539,http://arxiv.org/abs/2505.04539v1,2025-05-07 16:15:40+00:00
4,Dynamic Location Search for Identifying Maximum Weighted Independent Sets in Complex Networks,2505.04674,http://arxiv.org/abs/2505.04674v1,2025-05-07 10:35:53+00:00
5,The Promise and Limits of LLMs in Constructing Proofs and Hints for Logic Problems in Intelligent Tutoring Systems,2505.04736,http://arxiv.org/abs/2505.04736v1,2025-05-07 18:48:23+00:00
6,Advancing and Benchmarking Personalized Tool Invocation for LLMs,2505.04072,http://arxiv.org/abs/2505.04072v1,2025-05-07 02:25:20+00:00
7,LLM-e Guess: Can LLMs Capabilities Advance Without Hardware Progress?,2505.04075,http://arxiv.org/abs/2505.04075v1,2025-05-07 02:26:17+00:00
8,An Empirical Study of OpenAI API Discussions on Stack Overflow,2505.04084,http://arxiv.org/abs/2505.04084v1,2025-05-07 02:51:32+00:00
9,Bringing legal knowledge to the public by constructing a legal question bank using large-scale pre-trained language model,2505.04132,http://arxiv.org/abs/2505.04132v1,2025-05-07 05:07:38+00:00
10,"R^3-VQA: ""Read the Room"" by Video Social Reasoning",2505.04147,http://arxiv.org/abs/2505.04147v1,2025-05-07 05:55:45+00:00
11,TS-SNN: Temporal Shift Module for Spiking Neural Networks,2505.04165,http://arxiv.org/abs/2505.04165v3,2025-05-07 06:34:34+00:00
12,DOTA: Deformable Optimized Transformer Architecture for End-to-End Text Recognition with Retrieval-Augmented Generation,2505.04175,http://arxiv.org/abs/2505.04175v1,2025-05-07 07:06:04+00:00
13,S3D: Sketch-Driven 3D Model Generation,2505.04185,http://arxiv.org/abs/2505.04185v1,2025-05-07 07:34:37+00:00
14,An Enhanced YOLOv8 Model for Real-Time and Accurate Pothole Detection and Measurement,2505.04207,http://arxiv.org/abs/2505.04207v1,2025-05-07 07:58:57+00:00
15,Steerable Chatbots: Personalizing LLMs with Preference-Based Activation Steering,2505.04260,http://arxiv.org/abs/2505.04260v1,2025-05-07 09:10:51+00:00
16,Weaponizing Language Models for Cybersecurity Offensive Operations: Automating Vulnerability Assessment Report Validation; A Review Paper,2505.04265,http://arxiv.org/abs/2505.04265v1,2025-05-07 09:14:55+00:00
