,title,id,arxiv_url,published
0,Machine Learning-Driven Intelligent Memory System Design: From On-Chip Caches to Storage,2603.14583,http://arxiv.org/abs/2603.14583v1,2026-03-15 20:02:05+00:00
1,DualTSR: Unified Dual-Diffusion Transformer for Scene Text Image Super-Resolution,2603.14207,http://arxiv.org/abs/2603.14207v1,2026-03-15 03:50:47+00:00
2,Punctuated Equilibria in Artificial Intelligence: The Institutional Scaling Law and the Speciation of Sovereign AI,2603.14664,http://arxiv.org/abs/2603.14664v1,2026-03-15 23:36:01+00:00
3,A Methodology for Thermal Limit Bias Predictability Through Artificial Intelligence,2603.14648,http://arxiv.org/abs/2603.14648v1,2026-03-15 23:06:13+00:00
4,Compute Allocation for Reasoning-Intensive Retrieval Agents,2603.14635,http://arxiv.org/abs/2603.14635v1,2026-03-15 22:12:17+00:00
5,Scaling the Explanation of Multi-Class Bayesian Network Classifiers,2603.14594,http://arxiv.org/abs/2603.14594v1,2026-03-15 20:38:06+00:00
6,FlashHead: Efficient Drop-In Replacement for the Classification Head in Language Model Inference,2603.14591,http://arxiv.org/abs/2603.14591v1,2026-03-15 20:26:42+00:00
7,MALicious INTent Dataset and Inoculating LLMs for Enhanced Disinformation Detection,2603.14525,http://arxiv.org/abs/2603.14525v1,2026-03-15 18:07:12+00:00
8,VLA-Thinker: Boosting Vision-Language-Action Models through Thinking-with-Image Reasoning,2603.14523,http://arxiv.org/abs/2603.14523v1,2026-03-15 17:59:51+00:00
9,The Pulse of Motion: Measuring Physical Frame Rate from Visual Dynamics,2603.14375,http://arxiv.org/abs/2603.14375v1,2026-03-15 13:29:31+00:00
10,OxyGen: Unified KV Cache Management for Vision-Language-Action Models under Multi-Task Parallelism,2603.14371,http://arxiv.org/abs/2603.14371v1,2026-03-15 13:23:56+00:00
11,Seeking Physics in Diffusion Noise,2603.14294,http://arxiv.org/abs/2603.14294v1,2026-03-15 09:13:23+00:00
12,AEX: Non-Intrusive Multi-Hop Attestation and Provenance for LLM APIs,2603.14283,http://arxiv.org/abs/2603.14283v1,2026-03-15 08:42:39+00:00
13,Bringing Model Editing to Generative Recommendation in Cold-Start Scenarios,2603.14259,http://arxiv.org/abs/2603.14259v1,2026-03-15 07:31:28+00:00
14,"Agentic DAG-Orchestrated Planner Framework for Multi-Modal, Multi-Hop Question Answering in Hybrid Data Lakes",2603.14229,http://arxiv.org/abs/2603.14229v1,2026-03-15 05:34:16+00:00
15,"""I'm Not Reading All of That"": Understanding Software Engineers' Level of Cognitive Engagement with Agentic Coding Assistants",2603.14225,http://arxiv.org/abs/2603.14225v2,2026-03-15 05:03:20+00:00
16,DASH: Dynamic Audio-Driven Semantic Chunking for Efficient Omnimodal Token Compression,2603.15685,http://arxiv.org/abs/2603.15685v1,2026-03-15 15:22:06+00:00
