,title,id,arxiv_url,published
0,DarkEQA: Benchmarking Vision-Language Models for Embodied Question Answering in Low-Light Indoor Environments,2512.24985,http://arxiv.org/abs/2512.24985v1,2025-12-31 17:31:29+00:00
1,The Impact of LLMs on Online News Consumption and Production,2512.24968,http://arxiv.org/abs/2512.24968v1,2025-12-31 16:54:29+00:00
2,Semi-overlapping Multi-bandit Best Arm Identification for Sequential Support Network Learning,2512.24959,http://arxiv.org/abs/2512.24959v1,2025-12-31 16:42:00+00:00
3,Semi-Automated Data Annotation in Multisensor Datasets for Autonomous Vehicle Testing,2512.24896,http://arxiv.org/abs/2512.24896v1,2025-12-31 14:43:48+00:00
4,A study on constraint extraction and exception exclusion in care worker scheduling,2512.24853,http://arxiv.org/abs/2512.24853v1,2025-12-31 13:22:50+00:00
5,Video and Language Alignment in 2D Systems for 3D Multi-object Scenes with Multi-Information Derivative-Free Control,2512.24826,http://arxiv.org/abs/2512.24826v1,2025-12-31 12:39:03+00:00
6,AstroReview: An LLM-driven Multi-Agent Framework for Telescope Proposal Peer Review and Refinement,2512.24754,http://arxiv.org/abs/2512.24754v1,2025-12-31 09:55:18+00:00
7,"Evolving, Not Training: Zero-Shot Reasoning Segmentation via Evolutionary Prompting",2512.24702,http://arxiv.org/abs/2512.24702v1,2025-12-31 08:10:03+00:00
8,Nested Learning: The Illusion of Deep Learning Architectures,2512.24695,http://arxiv.org/abs/2512.24695v1,2025-12-31 07:59:43+00:00
9,Youtu-Agent: Scaling Agent Productivity with Automated Generation and Hybrid Policy Optimization,2512.24615,http://arxiv.org/abs/2512.24615v1,2025-12-31 04:17:36+00:00
10,Reinforcement Learning-Augmented LLM Agents for Collaborative Decision Making and Performance Optimization,2512.24609,http://arxiv.org/abs/2512.24609v1,2025-12-31 03:59:18+00:00
11,SynRAG: A Large Language Model Framework for Executable Query Generation in Heterogeneous SIEM System,2512.24571,http://arxiv.org/abs/2512.24571v1,2025-12-31 02:35:51+00:00
