,title,id,arxiv_url,published
0,Cloud parameter estimation for interacting BEC after time-of-flight,2601.10415,http://arxiv.org/abs/2601.10415v1,2026-01-15 14:05:26+00:00
1,Addition to the dynamic Stark shift of the coherent population trapping resonance,2601.10319,http://arxiv.org/abs/2601.10319v1,2026-01-15 11:56:10+00:00
2,Complex scalar relativistic field as a probability amplitude,2601.10302,http://arxiv.org/abs/2601.10302v1,2026-01-15 11:17:04+00:00
3,Quantum Theory and Unusual Dielectric Functions of Graphene,2601.10478,http://arxiv.org/abs/2601.10478v1,2026-01-15 15:00:48+00:00
4,Computing Statistical Properties of Velocity Fields on Current Quantum Hardware,2601.10166,http://arxiv.org/abs/2601.10166v1,2026-01-15 08:09:13+00:00
5,Bridging Superconducting and Neutral-Atom Platforms for Efficient Fault-Tolerant Quantum Architectures,2601.10144,http://arxiv.org/abs/2601.10144v1,2026-01-15 07:39:05+00:00
6,Optimal qudit overlapping tomography and optimal measurement order,2601.10059,http://arxiv.org/abs/2601.10059v1,2026-01-15 04:24:07+00:00
7,Anomalous transport in quasiperiodic lattices: emergent exceptional points at band edges and log-periodic oscillations,2601.10056,http://arxiv.org/abs/2601.10056v1,2026-01-15 04:15:58+00:00
8,Hybrid Quantum Algorithms for Computational Chemistry: Application to the Pyridine-Li ion Complex,2601.10002,http://arxiv.org/abs/2601.10002v1,2026-01-15 02:23:09+00:00
9,Interfacing Superconductor and Semiconductor Digital Electronics,2601.09969,http://arxiv.org/abs/2601.09969v1,2026-01-15 01:12:27+00:00
10,Parallelizing the Variational Quantum Eigensolver: From JIT Compilation to Multi-GPU Scaling,2601.09951,http://arxiv.org/abs/2601.09951v1,2026-01-15 00:21:51+00:00
11,Mitigating nonlinear transduction noise in high-cooperativity cavity optomechanics,2601.10689,http://arxiv.org/abs/2601.10689v1,2026-01-15 18:49:39+00:00
12,Charging a quantum battery from the Bloch sphere,2601.10844,http://arxiv.org/abs/2601.10844v1,2026-01-15 20:24:55+00:00
13,Widefield NV Magnetic Field Reconstruction for Probing the Meissner Effect and Critical Current Density under Pressure,2601.10838,http://arxiv.org/abs/2601.10838v1,2026-01-15 20:18:13+00:00
14,Noise-Resilient Quantum Evolution in Open Systems through Error-Correcting Frameworks,2601.10206,http://arxiv.org/abs/2601.10206v1,2026-01-15 09:11:33+00:00
15,"Lambert W Function Framework for Graphene Nanoribbon Quantum Sensing: Theory, Verification, and Multi-Modal Applications",2601.10767,http://arxiv.org/abs/2601.10767v1,2026-01-15 08:32:47+00:00
16,Pseudomode approach to Fano effect in dissipative cavity quantum electrodynamics,2601.10087,http://arxiv.org/abs/2601.10087v1,2026-01-15 05:26:14+00:00
17,Towards Minimal Fault-tolerant Error-Correction Sequence with Quantum Hamming Codes,2601.10042,http://arxiv.org/abs/2601.10042v1,2026-01-15 03:40:13+00:00
