,title,id,arxiv_url,published
0,Micro-Oscillation Frequency Estimation of an Optical Point Source Using Spatial Mode Demultiplexing,2504.04350,http://arxiv.org/abs/2504.04350v1,2025-04-06 04:10:49+00:00
1,Ultrasensitive Transverse Deflection Measurement with Two-photon Interference,2504.04397,http://arxiv.org/abs/2504.04397v1,2025-04-06 07:52:43+00:00
2,Environment-Assisted Generation of Non-Gaussian Wavepacket Quantum States,2504.04513,http://arxiv.org/abs/2504.04513v1,2025-04-06 15:05:49+00:00
3,Notes on Quantum Soundscapes and Music,2504.04624,http://arxiv.org/abs/2504.04624v1,2025-04-06 21:13:59+00:00
4,Non-Markovian N-spin chain quantum battery in thermal charging process,2504.05348,http://arxiv.org/abs/2504.05348v1,2025-04-06 14:55:11+00:00
5,Experimental evidence of quantum interferences in CO-H$_2$ rotational energy transfer at room temperature,2504.04403,http://arxiv.org/abs/2504.04403v1,2025-04-06 08:05:31+00:00
6,All-vortex nonlinear Compton scattering in a polarized laser field,2504.04425,http://arxiv.org/abs/2504.04425v1,2025-04-06 09:38:45+00:00
7,Impact of Absorption due to Zero-Field Splitting on Loss in Dielectrics,2504.04610,http://arxiv.org/abs/2504.04610v1,2025-04-06 20:37:33+00:00
8,Spreading dynamics in the Hatano-Nelson model with disorder,2504.04370,http://arxiv.org/abs/2504.04370v1,2025-04-06 05:40:14+00:00
